kic_kepler_id,kic_kepmag,kic_teff,kic_logg,kic_feh,kic_glon,kic_glat,num_quarters,ra_2000,dec_2000,meanprob,stdprob,teff_val,teff_percentile_lower,teff_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,kct_contamination,r_lo,crowding_mag
5024470,10.083,3217,0.090000004,0.16500001,73.96978,8.4779539,,295.3233603,40.17832406,0.7376315313,0.1486649554,3305,3292.3333,3523.4053,1300.377,1074.0391,1526.7148,9.950509,11.660987,8.734497,2.9264898,1.7104778,1.216012,0.306217,2046.733174,10.02
5113517,10.155,3360,0.70700002,0.56699997,74.081718,8.4022226,1,295.4797995,40.2393678,0.8949357714,0.02950636928,3754.125,3563.5,3990.1667,641.9584,576.51373,707.403,10.0736265,11.465588,8.951533,2.5140543,1.3919611,1.1220932,0.003248,1927.010525,0.00
5199859,10.219,3408,0.50099999,0.55400002,74.086227,8.5744171,15,295.2842812,40.32551629,0.7438881303,0.1247661431,3815.88,3695.9734,3868.6401,664.95593,574.1564,755.7555,10.137735,11.444227,9.042345,2.4018822,1.3064919,1.0953903,0.005493,2002.672147,10.26
5024456,11.08,,,,73.97139,8.4808273,14,295.3210472,40.18106931,0.954711755,0.006382238853,4078.3176,3948.8052,4189.26,376.08246,329.38965,422.77527,11.079373,11.993308,10.158957,1.8343515,0.9139347,0.92041683,0.710344,2535.382983,10.33
5113061,11.157,4281,1.808,0.616,74.100784,8.487606,15,295.3933084,40.29671959,0.9193700963,0.02080224798,4140.12,4035.35,4322.5,272.5601,244.81976,300.3004,11.089029,11.94371,10.214522,1.729188,0.854681,0.87450695,0.004508,2259.365668,11.16
5024750,11.167,,,,73.99836,8.4607887,15,295.3607786,40.19493858,0.9521027608,0.006450298044,4477.547,4330.52,4511.0405,133.51752,119.88731,147.14774,11.813597,12.546428,11.002718,1.5437098,0.732831,0.81087875,0.133156,2393.569742,11.79
5024851,11.21,4079,1.839,-0.083999999,73.964333,8.428957,15,295.3762963,40.15014022,0.7900249222,0.05789031683,4054.16,4015.3,4171.1,326.9668,291.9508,361.9828,11.140305,12.048931,10.225336,1.823595,0.90862656,0.9149685,0.06313,2449.111675,11.18
5112483,11.244,,,,73.994659,8.5070028,14,295.3053298,40.21379039,0.4331202647,0.1314444471,4102.263,4059.8052,4192.7134,220.52235,196.30365,244.74106,11.405107,12.229495,10.542084,1.6874113,0.8243885,0.8630228,0.187837,2307.579229,11.42
5024272,11.31,4716,2.0380001,0.31099999,73.97477,8.5040035,15,295.2964773,40.19508248,0.9589471964,0.004363498418,4575.513,4431.08,4853.875,236.51547,209.95825,263.0727,11.260047,11.93846,10.491808,1.4466524,0.6784134,0.768239,0.152052,2491.785448,11.26
5112481,11.342,,,,74.025894,8.5240459,15,295.3050342,40.2490697,0.9125178721,0.02094808327,4073.95,3980,4202.935,260.91507,234.81546,287.01468,11.29462,12.14355,10.403696,1.7398539,0.84893036,0.8909235,0.044314,2379.672004,11.26
5024268,11.359,5044,2.197,0.336,73.96701,8.5002975,15,295.2959405,40.18657557,0.9548682659,0.006380057918,4728.24,4644.16,4831.3833,162.88634,146.16214,179.61053,11.306562,11.91097,10.596135,1.3148346,0.6044073,0.7104273,0.182111,2195.728711,11.34
5112786,11.553,,,,74.007172,8.4760084,15,295.3487186,40.20986458,0.6884611926,0.08603540043,4286.635,4164.83,4342,155.672,140.6057,170.7383,11.510236,12.32134,10.6486025,1.6727371,0.8111038,0.8616333,0.026961,2169.536838,11.56
